,fiction_work,film_adaptation,film_year
521,"The Double Take (1946), Roy Huggins",I Love Trouble (1948),['1948']
522,"Down Will Come Baby (1993), Gloria Murphy",Down Will Come Baby (1999),['1999']
523,"Dracula (1897), Bram Stoker","For a list of film adaptations, see the Dracula disambiguation article",[]
524,"The Dragon and the George (1976), Gordon R. Dickson",The Flight of Dragons (1982) (TV),['1982']
525,"Dragon Seed (1942), Pearl S. Buck",Dragon Seed (1944),['1944']
526,"Dragons of Autumn Twilight (1984), Margaret Weis and Tracy Hickman",Dragonlance: Dragons of Autumn Twilight (2008),['2008']
527,"Dream Days (1898), Kenneth Grahame",The Reluctant Dragon (1941),['1941']
528,"The Dream Master (1966), Roger Zelazny",Dreamscape (1984),['1984']
529,"Dreamcatcher (2001), Stephen King",Dreamcatcher (2003),['2003']
530,"The Drift Fence (1933), Zane Grey",Drift Fence (1936),['1936']
531,"Dr. No (1958), Ian Fleming",Dr. No (1962),['1962']
532,"Drood (2009), Dan Simmons",Drood (TBA 2014),[]
533,"The Drowning Pool (1950), Ross Macdonald",The Drowning Pool (1975),['1975']
534,"Drums Along the Mohawk (1936), Walter D. Edmonds",Drums Along the Mohawk (1939),['1939']
535,"The Drums of Jeopardy (1920), Harold MacGrath","The Drums of Jeopardy (1923)
The Drums of Jeopardy (1931)","['1923', '1931']"
536,"The Dude Ranger (1951), Zane Grey",The Dude Ranger (1954),['1954']
537,"Duel in the Sun (1941), Niven Busch",Duel in the Sun (1946),['1946']
538,"Dune (1965), Frank Herbert","Dune (1984)
Frank Herbert's Dune (2000) (TV) (mini)
* Frank Herbert's Children of Dune (2003) (TV) (mini)
Dune (future, TBA)","['1984', '2000', '2003']"
539,"The Dying Animal (2001), Philip Roth",Elegy (2008),['2008']
540,"Dying Young (1990), Marti Leimbach",Dying Young (1991),['1991']
542,"The Eagle Has Landed (1975), Jack Higgins",The Eagle Has Landed (1976),['1976']
543,"The Eagle of the Ninth (1954), Rosemary Sutcliff",The Eagle (2011),['2011']
544,"East of Eden (1952), John Steinbeck",East of Eden (1955),['1955']
545,"Eaters of the Dead (1976), Michael Crichton",The 13th Warrior (1999),['1999']
546,"Eddie and the Cruisers (1980), P. F. Kluge",Eddie and the Cruisers (1983),['1983']
547,"The Egyptian (Sinuhe the Egyptian) (1945), Mika Waltari",The Egyptian (1954),['1954']
548,"The Egyptian Series (1993-2007), Wilbur Smith
River God (1993)
* The Seventh Scroll (1995)",The Seventh Scroll (1999) (TV) (mini),['1999']
549,"Election (1998), Tom Perrotta",Election (1999),['1999']
550,"Elephant Walk (1948), Digby George Gerahty (as Robert Standish)",Elephant Walk (1954),['1954']
551,"Elles n'oublient jamais (1993), Christopher Frank",Elles n'oublient jamais (1994),['1994']
552,"Ellis Island (1983), Fred Mustard Stewart",Ellis Island (1984) (TV) (mini),['1984']
553,"Elmer Gantry (1927), Sinclair Lewis",Elmer Gantry (1960),['1960']
554,"Elsk meg i morgen (Love Me Tomorrow) (1999), Ingvar Ambjørnsen",Elsk meg i morgen (2005),['2005']
555,"Emma (1815), Jane Austen","Emma (1972) (TV) (mini)
Clueless (1995)
Emma (1996)
Emma (1996) (TV) (mini)
Emma (2009) (TV) (serial)
Aisha (2009)","['1972', '1995', '1996', '1996', '2009', '2009']"
556,"Emil and the Detectives (1929), Erich Kästner","Emil and the Detectives (1931)
Emil and the Detectives (1935)
Emil and the Detectives (1954)
Emil and the Detectives (1964)
Emil and the Detectives (2001)","['1931', '1935', '1954', '1964', '2001']"
557,"Emotional Arithmetic (1990), Matt Cohen",Emotional Arithmetic (2008),['2008']
558,"Empire of the Sun (1984), J. G. Ballard",Empire of the Sun (1987),['1987']
559,"The Enchanted April (1922), Elizabeth von Arnim","Enchanted April (1935)
Enchanted April (1992)","['1935', '1992']"
560,"The Enchanted Voyage (1936), Robert Nathan",Wake Up and Dream (1946),['1946']
561,"The End of the Affair (1951), Graham Greene","The End of the Affair (1955)
The End of the Affair (1999)","['1955', '1999']"
562,"Endless Love (1979), Scott Spencer",Endless Love (1981),['1981']
563,"Enduring Love (1997), Ian McEwan",Enduring Love (2004),['2004']
564,"Los Enemigos de la Mujer (1922), Vicente Blasco Ibáñez",Enemies of Women (1923),['1923']
565,"The Enemy Below (1956), D. A. Rayner (Denys Rayner)",The Enemy Below (1957),['1957']
566,"Enemy Mine (1979), Barry B. Longyear",Enemy Mine (1985),['1985']
567,"The English Patient (1992), Michael Ondaatje",The English Patient (1996),['1996']
568,"Enigma (1995), Robert Harris",Enigma (2001),['2001']
569,"The Entity (1978), Frank De Felitta",The Entity (1981),['1981']
570,"Eragon (2003), Christopher Paolini",Eragon (2006),['2006']
571,"Escape (1939), Grace Zaring Stone",Escape (1940),['1940']
572,"Escape to Witch Mountain (1968), Alexander Key","Escape to Witch Mountain (1975)
* Return from Witch Mountain (1978)
** Beyond Witch Mountain (1982) (TV)
Escape to Witch Mountain (1995)
** * Race to Witch Mountain (2009)","['1975', '1978', '1982', '1995', '2009']"
573,"L'étoile du nord (The North Star) (1854), Georges Simenon",L'Etoile du nord (1982),['1982']
574,"The Evening Star (1992), Larry McMurtry",The Evening Star (1996),['1996']
575,"Everybody's All-American (1981), Frank Deford",Everybody's All-American (1988),['1988']
576,"Everything Is Illuminated (2002), Jonathan Safran Foer",Everything Is Illuminated (2005),['2005']
577,"Evil Come, Evil Go (1961), Whit Masterson",The Yellow Canary (1963),['1963']
578,"Evil Under the Sun (1981), Agatha Christie","Evil Under the Sun (1982)
Evil Under the Sun (2001) (TV)","['1982', '2001']"
579,"The Executioners (1957), John D. MacDonald","Cape Fear (1962)
Cape Fear (1991)","['1962', '1991']"
580,"Executive Suite (1952), Cameron Hawley",Executive Suite (1954),['1954']
581,"Exit to Eden (1984), Anne Rice (as Anne Rampling)",Exit To Eden (1994),['1994']
582,"Exit Wounds (1990), John Westermann",Exit Wounds (2001),['2001']
583,"Exodus (1958), Leon Uris",Exodus (1960),['1960']
584,"The Exorcist (1971), William Peter Blatty","The Exorcist (1973)
* Exorcist II: The Heretic (1977)
** The Exorcist III (1990)
** * Exorcist: The Beginning (2004)
** ** Dominion: Prequel to the Exorcist (2005)","['1973', '1977', '1990', '2004', '2005']"
585,"Experiment Perilous (1943), Margaret Carpenter",Experiment Perilous (1944),['1944']
586,"Extension du domaine de la lutte (Broadening the Trial of the Struggle, a.k.a. Whatever) (1994), Michel Houellebecq",Extension du domaine de la lutte (1999),['1999']
587,"Extremely Loud and Incredibly Close (2005), Jonathan Safran Foer",Extremely Loud and Incredibly Close (2012),['2012']
588,"The Eye of the Beholder (1980), Marc Behm","Deadly Circuit (Mortelle randonnée) (1983)
Eye of the Beholder (1999)","['1983', '1999']"
589,"Eye of the Needle (a.k.a. Storm Island) (1978), Ken Follett","Eye of the Needle (1981)
Fanaa (2006)","['1981', '2006']"
