,fiction_work,film_adaptation,film_year
888,"King's Ransom (1959), Evan Hunter (as Ed McBain)",High and Low (1963),['1963']
889,"Kings Go Forth (1956), Joe David Brown",Kings Go Forth (1958),['1958']
890,"Kings Row (1940), Henry Bellamann",Kings Row (1942),['1942']
891,"The Killer Angels (1974), Michael Shaara",Gettysburg (1993),['1993']
892,"The Killer Inside Me (1952), Jim Thompson","The Killer Inside Me (1976)
The Killer Inside Me (2010)","['1976', '2010']"
893,"Kipps (1905), H. G. Wells","Kipps (1921)
Kipps (1941)
Kipps (1960) (TV) (serial)
Half a Sixpence (1967)","['1921', '1941', '1960', '1967']"
894,"Kirishima, bukatsu yamerutteyo (2010), Ryo Asai",The Kirishima Thing (2012),['2012']
895,"Kiss of the Spider Woman (1976), Manuel Puig",Kiss of the Spider Woman (1985),['1985']
896,"Kiss the Girls (1995), James Patterson",Kiss the Girls (1997),['1997']
897,"Kiss Tomorrow Goodbye (1948), Horace McCoy",Kiss Tomorrow Goodbye (1950),['1950']
898,"The Klansman (1967), William Bradford Huie",The Klansman (1974),['1974']
899,"Kolchak: The Kolchak Papers (1970), Jeff Rice","Kolchak: The Night Stalker (1972–1976) (series)
The Night Stalker (1972) (TV)
* The Night Strangler (1973) (TV)
** Crackle of Death (1974) (TV)
*** The Demon and the Mummy (1976) (TV)","['1972', '1972', '1973', '1974', '1976']"
900,"Kowloon Tong (1997), Paul Theroux",Chinese Box (1997),['1997']
901,"Kuroi Ame (Black Rain) (1966), Masuji Ibuse",Black Rain (1989),['1989']
903,"L.A. Confidential (1990), James Ellroy",L.A. Confidential (1997),['1997']
904,"Lad, A Dog (1919), Albert Payson Terhune","Lad, A Dog (1963)",['1963']
905,"Lady Audley's Secret (1862), Mary Elizabeth Braddon","Lady Audley's Secret (1912)
Lady Audley's Secret (a. k. a. Secrets of Society) (1915)
Lady Audley's Secret (1920)
Lady Audley's Secret (2000)","['1912', '1915', '1920', '2000']"
906,"Lady L (1958), Romain Gary",Lady L (1965),['1965']
907,"The Lady of the Camellias (1848), Alexandre Dumas, fils","Camille (1909)
Camille (1915)
Camille (1917)
Camille (1921)
Camille (1926) (made by Norma Talmadge)
Camille (1926) (made by Ralph Barton, and starring Charlie Chaplin)
Camille (1936)
Camille 2000 (1969)
Camille (1984)","['1909', '1915', '1917', '1921', '1926', '1926', '1936', '1969', '1984']"
908,"The Lair of the White Worm (1911), Bram Stoker",The Lair of the White Worm (1988),['1988']
909,"La lampe dans la fenêtre (1972), Pauline Cadieux",Cordélia (1980),['1980']
910,"The Land That Time Forgot (1918), Edgar Rice Burroughs","The Caspak Trilogy (1975–1977) (series)
The Land That Time Forgot (1975)
* The People That Time Forgot (1977)
The Land That Time Forgot (2009)","['1975', '1975', '1977', '2009']"
911,"Lassie Come-Home (1940), Eric Knight","Lassie (1943–2005) (series)
Lassie Come Home (1943)
* Son of Lassie (1945)
** Courage of Lassie (1946)
*** Hills of Home (1948)
**** The Sun Comes Up (1949)
***** Challenge to Lassie (1950)
****** The Painted Hills (1951)
******* Lassie's Great Adventure (1963)
******** The Magic of Lassie (1988)
********* Lassie (1994)
********** Lassie (2005)","['1943', '1943', '1945', '1946', '1948', '1949', '1950', '1951', '1963', '1988', '1994', '2005']"
912,"The Last Days of Pompeii (1834), Edward Bulwer-Lytton","The Last Days of Pompeii (1900)
The Last Days of Pompeii (Gli ultimi giorni di Pompei) (1908)
The Last Days of Pompeii (Gli ultimi giorni di Pompei) (1913)
The Last Days of Pompeii (Gli ultimi giorni di Pompei) (1926)
The Last Days of Pompeii (1935)
The Last Days of Pompeii (Gli ultimi giorni di Pompei, Les Derniers Jours de Pompéi) (1950)
The Last Days of Pompeii (Gli ultimi giorni di Pompei) (1959)","['1900', '1908', '1913', '1926', '1935', '1950', '1959']"
913,"The Last Detail (1970), Darryl Ponicsan",The Last Detail (1973),['1973']
914,"The Last Hunt (1954), Milton Lott",The Last Hunt (1956),['1956']
915,"The Last of the Duanes (1913) (written), (1996) (published), Zane Grey","The Last of the Duanes (1919)
The Last of the Duanes (1924)
The Last of the Duanes (1930)
El último de los Vargas (1930)
Last of the Duanes (1941)","['1919', '1924', '1930', '1930', '1941']"
916,"The Last of the Mohicans (1826), James Fenimore Cooper","The Last of the Mohicans (1912)
The Last of the Mohicans (1920) (made in America)
Der Letzte der Mohikaner (The Last of the Mohicans) (1920) (made in Germany)
The Last of the Mohicans (1932) (serial)
The Last of the Mohicans (1936)
The Last of the Mohicans (1971) (TV) (serial)
The Last of the Mohicans (1977) (TV)
The Last of the Mohicans (1992)","['1912', '1920', '1920', '1932', '1936', '1971', '1977', '1992']"
917,"The Last Picture Show (1966), Larry McMurtry",The Last Picture Show (1971),['1971']
918,"The Last Ride (1996), Thomas Eidson",The Missing (2003),['2003']
919,"The Last Song (2009), Nicholas Sparks",The Last Song (2010),['2010']
920,"Last Stand at Papago Wells (1957), Louis L'Amour",Apache Territory (1958),['1958']
921,"Last Stand at Saber River (1959), Elmore Leonard",Last Stand at Saber River (1997),['1997']
922,"The Last Unicorn (1968), Peter S. Beagle",The Last Unicorn (1982),['1982']
923,"The Late George Apley (1937), John P. Marquand",The Late George Apley (1947),['1947']
924,"Lay This Laurel (1973), Lincoln Kirstein",Glory (1989),['1989']
925,"Layer Cake (2000), J. J. Connolly",Layer Cake (2004),['2004']
926,"Laura (1942) (serial), (1943) (novel), Vera Caspary","Laura (1944)
Laura (1962) (TV)
Laura (1968) (TV)","['1944', '1962', '1968']"
927,"Law and Order (1973), Dorothy Uhnako",Law and Order (1976) (TV),['1976']
928,"The Law at Randado (1954), Elmore Leonard",Border Shootout (1990),['1990']
929,"Law Man (1955), Lauran Paine",The Quiet Gun (1957),['1957']
930,"Lawyer Man (1932), Max Trell",Lawyer Man (1933),['1933']
931,"Leaving Cheyenne (1963), Larry McMurtry",Lovin' Molly (1974),['1974']
932,"The Ledger (1970), Dorothy Uhnak",Get Christie Love! (1974) (TV),['1974']
933,"Left Behind (1995–2007) (series), Tim LaHaye and Jerry B. Jenkins","Left Behind (2000–2005) (series)
Left Behind: The Movie (2000)
* Left Behind II: Tribulation Force (2002)
** Left Behind: World at War (2005)","['2000', '2000', '2002', '2005']"
934,"Legion (1983), William Peter Blatty",The Exorcist III (1990),['1990']
935,"Lemonade Mouth (2007), Mark Peter Hughes","Lemonade Mouth (2011) (TV)
* Lemonade Mouth 2 (2012) (TV)","['2011', '2012']"
936,"The Leopard (1958), Giuseppe Tomasi di Lampedusa",The Leopard (1963),['1963']
937,"Less Than Zero (1985), Bret Easton Ellis",Less Than Zero (1987),['1987']
938,"Let the Right One In (Låt den rätte komma in) (2004), John Ajvide Lindqvist","Let the Right One In (2008)
Let Me In (2010)","['2008', '2010']"
939,"Letter to Five Wives (1946), John Klempner",A Letter to Three Wives (1949),['1949']
940,"Let Me Count the Ways (1965), Peter De Vries",How Do I Love Thee? (1970),['1970']
941,"Les Liaisons dangereuses (The Dangerous Liaisons) (1782), Pierre Choderlos de Laclos","Les liaisons dangereuses (1959)
Les Liaisons dangereuses (1980) (TV)
Dangerous Liaisons (1988)
Valmont (1989)
Cruel Intentions (1999)
Untold Scandal (2003)
Les Liaisons dangereuses (2003) (TV) (mini)
Michael Lucas' Dangerous Liaisons (2005)","['1959', '1980', '1988', '1989', '1999', '2003', '2003', '2005']"
942,"The Life Before Us (a. k. a. Momo) (1975), Romain Gary (as Émile Ajar)","Madame Rosa (1977)
The Life Before Us (2010) (TV)","['1977', '2010']"
943,"Life of Pi (2001), Yann Martel",Life of Pi (film) (2012),['2012']
944,"The Lincoln Lawyer (2005), Michael Connelly",The Lincoln Lawyer (2011),['2011']
945,"A Lion Is in the Streets (1945), Adria Locke Langley",A Lion Is in the Streets (1953),['1953']
946,"Little Dorrit (1855–1857) (serial), (1857) (novel), Charles Dickens","Little Dorrit (1913)
Little Dorrit (1920)
Klein Dorrit (1934)
Little Dorrit (1988)
Little Dorrit (2008) (TV) (serial)","['1913', '1920', '1934', '1988', '2008']"
947,"The Lizard's Tail (1979), Marc Brandell",The Hand (1981),['1981']
948,"Eine Liebe in Deutschland (A Love in Germany) (1978), Rolf Hochhuth",Eine Liebe in Deutschland (A Love in Germany) (1983),['1983']
949,"The Life and Opinions of Tristram Shandy, Gentleman (1759–1767), Laurence Sterne",A Cock and Bull Story (2006),['2006']
950,"The Light in the Forest (1953), Conrad Richter",The Light in the Forest (1958),['1958']
951,"The Light of Western Stars (1914), Zane Grey","The Light of the Western Stars (1918)
The Light of Western Stars (1925)
The Light of Western Stars (1930)
The Light of Western Stars (1940)","['1918', '1925', '1930', '1940']"
952,"Like a Fire is Burning (1991), Gerald N. Lund",The Work and the Glory: American Zion (2005),['2005']
953,"Little Caesar (1929), W. R. Burnett","Little Caesar (1931)
Black Caesar (1973)
* Hell Up in Harlem (1973)","['1931', '1973', '1973']"
954,"The Little Drummer Girl (1983), John le Carré",The Little Drummer Girl (1984),['1984']
955,"The Little White Horse (1946), Elizabeth Goudge",The Secret of Moonacre (2009),['2009']
956,"Live and Let Die (1954), Ian Fleming",Live and Let Die (1973),['1973']
957,"Live Flesh (1986), Ruth Rendell",Carne trémula (Live Flesh) (1997),['1997']
958,"Loaded (1995), Christos Tsiolkas",Head On (1998),['1998']
959,"Lobo (1900), Ernest Thompson Seton",The Legend of Lobo (1962),['1962']
960,"Logan's Run (1967), William F. Nolan and George Clayton Johnson","Logan's Run (1976)
Logan's Run (2012)","['1976', '2012']"
961,"Lolita (1955), Vladimir Nabokov","Lolita (1962)
Lolita (1997)","['1962', '1997']"
962,"The Lone Star Ranger (1915), Zane Grey","The Lone Star Ranger (1919)
The Lone Star Ranger (1923)
The Lone Star Ranger (1930)
Lone Star Ranger (1942)","['1919', '1923', '1930', '1942']"
963,"The Long Goodbye (1953), Raymond Chandler",The Long Goodbye (1973),['1973']
964,"The Looters (1968), John H. Reese",Charley Varrick (1973),['1973']
965,"Lord Jim (1899–1900) (serial), (1900) (novel), Joseph Conrad","Lord Jim (1925)
Lord Jim (1965)","['1925', '1965']"
966,"Lord of the Flies (1954), William Golding","Lord of the Flies (1963)
Alkitrang dugo (1976)
Lord of the Flies (1990)","['1963', '1976', '1990']"
967,"The Lord of the Rings (1953–1955) (series), J. R. R. Tolkien
The Fellowship of the Ring (1953)
* The Two Towers (1954)
** The Return of the King (1955)","J. R. R. Tolkien's The Lord of the Rings (1978)
The Lord of the Rings: The Motion Picture Trilogy (2001–2003) (series)
The Lord of the Rings: The Fellowship of the Ring (2001)
* The Lord of the Rings: The Two Towers (2002)
** The Lord of the Rings: The Return of the King (2003)","['1978', '2001', '2001', '2002', '2003']"
968,"The Lords of Discipline (1980), Pat Conroy",The Lords of Discipline (1983),['1983']
969,"Lost Horizon (1933), James Hilton","Lost Horizon (1937)
Lost Horizon (1973)","['1937', '1973']"
970,"The Lost Ones (1961), Donald G. Payne",The Island at the Top of the World (1974),['1974']
971,"The Lost Symbol (2009), Dan Brown",The Lost Symbol (2012),['2012']
972,"The Lost World (1912), Arthur Conan Doyle","The Lost World (1925)
The Lost World (1960)
The Lost World (1992)
* Return to the Lost World (1992)
The Lost World (1998)
Sir Arthur Conan Doyle's The Lost World (1999–2002) (TV)
The Lost World (2001) (TV)
King of the Lost World (2005)","['1925', '1960', '1992', '1992', '1998', '1999', '2001', '2005']"
973,"The Lost World (1995), Michael Crichton",The Lost World: Jurassic Park (1997),['1997']
974,"Lottie and Lisa (Das doppelte Lottchen) (1949), Erich Kästner","Das doppelte Lottchen (1950)
The Lullaby of Hibari (1951)
Twice Upon a Time (1953)
The Parent Trap (1961)
* The Parent Trap II (1987) (TV)
** Parent Trap III (1988) (TV)
** * Parent Trap: Hawaiian Honeymoon (1989) (TV)
Kuzanthaiyum Deivamum (1965)
Letha Manasulu (1966)
Do Kaliyan (1968)
Animation Tomboy Angels (1980)
Pyaar ke do Pal (1986)
I and Myself: The Two Lottes (1991)
Charlie & Louise - Das doppelte Lottchen (1994)
khaharan-e- gharib (1995)
The Parent Trap (1998)
Kuch Khatti Kuch Meethi (2001)
Tur & Retur (2003)","['1950', '1951', '1953', '1961', '1987', '1988', '1989', '1965', '1966', '1968', '1980', '1986', '1991', '1994', '1995', '1998', '2001', '2003']"
975,"The Loved One (1948), Evelyn Waugh",The Loved One (1965),['1965']
976,"Love Story (1970), Erich Segal
* Oliver's Story (1977), Erich Segal","Love Story (1970)
* Oliver's Story (1978)","['1970', '1978']"
977,"The Lovely Bones (2002), Alice Sebold",The Lovely Bones (2009),['2009']
978,"The Luck of Barry Lyndon (1844), William Makepeace Thackeray",Barry Lyndon (1975),['1975']
979,"The Lucky One (2008), Nicholas Sparks",The Lucky One (2012),['2012']
980,"El Lugar sin límites (Hell Has No Limits) (1966), José Donoso",El lugar sin límites (Hell Has No Limits) (1978),['1978']
981,"Lunes de fiel (1981), Pascal Bruckner",Bitter Moon (1992),['1992']
982,"The Lusty Men (1948), Claude Stanush",The Lusty Men (1952),['1952']
984,"MacKenna's Gold (1963), Henry Wilson Allen (as Heck Allen)",Mackenna's Gold (1969),['1969']
985,"Madame Doubtfire (a.k.a. Alias Madame Doubtfire) (1987), Anne Fine",Mrs. Doubtfire (1994),['1994']
986,"The Maddening (1987), Andrew Neiderman",The Maddening (1995),['1995']
987,"The Magic Bed Knob; or, How to Become a Witch in Ten Easy Lessons (1943), Mary Norton
* Bonfires and Broomsticks (1945), Mary Norton",Bedknobs and Broomsticks (1971),['1971']
988,"The Magician (1908), W. Somerset Maugham",The Magician (1926),['1926']
989,"Magnificent Obsession (1929), Lloyd C. Douglas","Magnificent Obsession (1935)
Magnificent Obsession (1954)","['1935', '1954']"
990,"Martin Eden (1909), Jack London",The Adventures of Martin Eden (1942),['1942']
991,"Maître du monde (Master of the World) (1904), Jules Verne","Master of the World (1961)
Master of the World (1976) (TV)","['1961', '1976']"
992,"Make Room! Make Room! (1966), Harry Harrison",Soylent Green (1973),['1973']
993,"The Maltese Falcon (1930), Dashiell Hammett","The Maltese Falcon (1931)
Satan Met a Lady (1936)
The Maltese Falcon (1941)
* The Black Bird (1975)","['1931', '1936', '1941', '1975']"
994,"The Man Called Noon (1970), Louis L'Amour",The Man Called Noon (1973),['1973']
995,"The Man in Black (1964), Marvin H. Albert",Rough Night in Jericho (1967),['1967']
996,"The Man in the Gray Flannel Suit (1955), Sloan Wilson",The Man in the Gray Flannel Suit (1956),['1956']
997,"Man on Fire (1980), A. J. Quinnell","Man on Fire (1987)
Man on Fire (2004)","['1987', '2004']"
998,"The Man Who Fell to Earth (1963), Walter Travis","The Man Who Fell to Earth (1976)
The Man Who Fell to Earth (1987) (TV)
The Man Who Fell to Earth (future, TBA)","['1976', '1987']"
999,"The Man Who Never Was (1954), Ewen Montagu",The Man Who Never Was (1956),['1956']
1000,"The Man with the Golden Gun (1965), Ian Fleming",The Man with the Golden Gun (1974),['1974']
1001,"The Man Without a Face (1972), Isabelle Holland",The Man Without a Face (1993),['1993']
1002,"Man Without a Star (1952), Lee Dinford",Man Without a Star (1955),['1955']
1003,"The Manchurian Candidate (1959), Richard Condon","The Manchurian Candidate (1962)
The Manchurian Candidate (2004)","['1962', '2004']"
1004,"Manon des Sources (part two of L'Eau des collines) (1966), Marcel Pagnol","Manon des Sources (1953)
Manon des Sources (1986)","['1953', '1986']"
1005,"Marnie (1961), Winston Graham",Marnie (1964),['1964']
1006,"Mary Poppins (1934), P. L. Travers",Mary Poppins (1964),['1964']
1007,"MASH: A Novel About Three Army Doctors (1968), Richard Hooker",MASH (1970),['1970']
1008,"Marathon Man (1974), William Goldman",Marathon Man (1976),['1976']
1009,"The Matarese Circle (1979), Robert Ludlum",The Matarese Circle (2012),['2012']
1010,"Matilda (1988), Roald Dahl",Matilda (1996),['1996']
1011,"Maurice (1971), E. M. Forster",Maurice (1987),['1987']
1012,"The Mayor of Casterbridge (1886), Thomas Hardy","The Mayor of Casterbridge (1921)
The Mayor of Casterbridge (1978) (TV)
The Mayor of Casterbridge (2003) (TV)
The Claim (2000)","['1921', '1978', '2003', '2000']"
1013,"McTeague (1899), Frank Norris","McTeague (1916)
Greed (1924)","['1916', '1924']"
1014,"Me and Earl and the Dying Girl (2012), Jesse Andrews",[1]Me and Earl and the Dying Girl (2015),['2015']
1015,"The Medusa Touch (1973), Peter Van Greenaway",The Medusa Touch (1978),['1978']
1016,"The Memoirs of Cleopatra (1997), Margaret George",Cleopatra (1999),['1999']
1017,"The Mephisto Waltz (1969), Fred Mustard Stewart",The Mephisto Waltz (1971),['1971']
1018,"Mercy Island (1941), Theodore Pratt",Mercy Island (1941),['1941']
1019,"Merton of the Movies (1919), Harry Leon Wilson","Merton of the Movies (1924)
Make Me a Star (1932)
Merton of the Movies (1947)","['1924', '1932', '1947']"
1020,"Message in a Bottle (1998), Nicholas Sparks",Message in a Bottle (1999),['1999']
1021,"Miami Mayhem (1960), Marvin H. Albert
* The Lady in Cement (1961), Marvin H. Albert","Tony Rome (1967)
* Lady in Cement (1968)","['1967', '1968']"
1022,"Midnight and Jeremiah (1943), Sterling North",So Dear to My Heart (1949),['1949']
1023,"A Midnight Clear (1982), William Wharton",A Midnight Clear (1992),['1992']
1024,"The Midwich Cuckoos (1957), John Wyndham","Village of the Damned (1960)
* Children of the Damned (1963)
Village of the Damned (1995)","['1960', '1963', '1995']"
1025,"Mildred Pierce (1941), James M. Cain",Mildred Pierce (1945),['1945']
1026,"Millennium (1983), John Varley",Millennium (1989),['1989']
1027,"Millennium (2005–2007) (series), Stieg Larsson
The Girl with the Dragon Tattoo (2005)
* The Girl Who Played with Fire (2006)
** The Girl Who Kicked the Hornets' Nest (2007)","Millennium (2009–2014) (series)
Swedish films
The Girl with the Dragon Tattoo (2009)
* The Girl Who Played with Fire (2009)
** The Girl Who Kicked the Hornets' Nest (2009)
American films
The Girl with the Dragon Tattoo (2011)
* The Girl Who Played with Fire (2013)
** The Girl Who Kicked the Hornets' Nest (TBA 2014)","['2009', '2009', '2009', '2009', '2011', '2013']"
1028,"Mine-Haha, or On the Bodily Education of Young Girls (1903), Frank Wedekind","Innocence (2004)
The Fine Art of Love: Mine Ha-Ha (2005)","['2004', '2005']"
1029,"The Mirror Crack'd from Side to Side (1962), Agatha Christie","The Mirror Crack'd (1980)
Subho Mahurat (2003)","['1980', '2003']"
1030,"Les Misérables (1862), Victor Hugo","On the Barricade (1907)
Le Chemineau (1907)
Les Misérables (1909)
The Bishop's Candlesticks (1909)
Les Misérables (1911)
Les Misérables (1913)
The Bishop's Candlesticks (1913)
Les Misérables (1917)
Les Misérables (1922)
Aa Mujou (1923)
Les Misérables (1925)
The Bishop's Candlesticks (1929)
Aa Mujou (1929)
Jean Valjean (1931)
Les Misérables (1934)
Les Misérables (1935)
Gavrosh (1937)
Kyojinden (1938)
Los Miserables (1943)
El Boassa (1944)
I Miserabili (1948)(Re-released in 1952)
Les Nouveaux Misérables (1949)
Re mizeraburu: Kami to Akuma (Les Misérables: Gods and Demons) (1950)
Ezhai Padum Padu (1950)
Beedala Patlu (1950)
Les Misérables (1952)
Kundan (1955)
Duppathage Duka (1956)
Sirakaruwa (1957)
Les Misérables (1958)
Os Miseráveis (1958)
Jean Valjean (1961) (TV)
Cosette (1961) (TV)
Gavroche (1962) (TV)
Jean Valjean (1963) (TV)
I miserabili (1964) (TV) (mini)
Les Misérables (1967) (TV) (mini)
Os Miseráveis (1967)
Sefiller (1967)
Les Misérables (1972) (TV) (mini)
Los Miserables (1973) (TV)
Les Misérables (1978) (TV)
Al Boasa (1978)
Les Misérables (1982) (TV)(Later re-adapted as a four-part television miniseries in 1985)
Les Misérables (1995)
Les Misérables – The Dream Cast in Concert (1995)
Les Misérables (1998)
Les Misérables (2000) (TV) (mini) (Later re-adapted as an edited-down television film version the same year and dubbed into English)
Les Misérables - 25th Anniversary Live from the O2 (2010)
Les Misérables (2011) (TV)
Les Misérables (2012)","['1907', '1907', '1909', '1909', '1911', '1913', '1913', '1917', '1922', '1923', '1925', '1929', '1929', '1931', '1934', '1935', '1937', '1938', '1943', '1944', '1948', '1949', '1950', '1950', '1950', '1952', '1955', '1956', '1957', '1958', '1958', '1961', '1961', '1962', '1963', '1964', '1967', '1967', '1967', '1972', '1973', '1978', '1978', '1982', '1995', '1995', '1998', '2000', '2010', '2011', '2012']"
1031,"Misery (1987), Stephen King",Misery (1990),['1990']
1032,"Miss Lonelyhearts (1933), Nathanael West","Advice to the Lovelorn (1933)
Lonelyhearts (1958)
Miss Lonelyhearts (1983) (TV)","['1933', '1958', '1983']"
1033,"Moby-Dick (1851), Herman Melville","The Sea Beast (1926)
Moby Dick (1956)
Tom and Jerry in: Dicky Moe (1962)
Moby Dick (1978)
Dot and the Whale (1986)
Moby Dick (1998) (TV)
Moby Dick (1999)
Capitaine Achab (2004)
Moby Dick (2010)
Moby Dick (2010) (TV) (mini)
Moby Dick (2011) (TV)
Age of the Dragons (2011)","['1926', '1956', '1962', '1978', '1986', '1998', '1999', '2004', '2010', '2010', '2011', '2011']"
1034,"Moderato Cantabile (1958), Marguerite Duras",Seven Days... Seven Nights (1960),['1960']
1035,"The Molly Maguires (1969), Arthur H. Lewis",The Molly Maguires (1970),['1970']
1036,"Monkey in the Middle (1973), Robert Syd Hopkins (as Robert Rostand)",The Killer Elite (1975),['1975']
1037,"The Monster from Earth's End (1959), Murray Leinster",The Navy vs. the Night Monsters (1966),['1966']
1038,"Montana Rides Again (1934), Max Brand",Branded (1950),['1950']
1039,"The Moon and Sixpence (1919), W. Somerset Maugham",The Moon and Sixpence (1942),['1942']
1040,"Moonraker (1955), Ian Fleming",Moonraker (1979),['1979']
1041,"The Moon-Spinners (1962), Mary Stewart",The Moon-Spinners (1964),['1964']
1042,"The Moonstone (1868), Wilkie Collins","The Moonstone (1934)
The Moonstone (1959) (TV)
The Moonstone (1972) (TV)
The Moonstone (1996) (TV)","['1934', '1959', '1972', '1996']"
1043,"Morpho Eugenia (1992), A. S. Byatt",Angels & Insects (1996),['1996']
1044,"The Mortal Instruments (2007–2013) (series), Cassandra Clare",The Mortal Instruments: City of Bones (2013),['2013']
1045,"Le Morte d'Arthur (The Death of Arthur) (1485), Sir Thomas Malory",Excalibur (1981),['1981']
1046,"The Mosquito Coast (1981), Paul Theroux",The Mosquito Coast (1986),['1986']
1047,"Mother Carey's Chickens (1911), Kate Douglas Wiggin","Mother Carey's Chickens (1938)
Summer Magic (1963)","['1938', '1963']"
1048,"Mother Night (1961), Kurt Vonnegut",Mother Night (1996),['1996']
1049,"A Mother's Gift (2001), Britney Spears and Lynne Spears",Brave New Girl (2004) (TV),['2004']
1050,"The Moving Target (1949), Ross Macdonald (as John Macdonald)",Harper (1966),['1966']
1051,"Mr. Hobbs' Vacation (1954), Edward Streeter",Mr. Hobbs Takes a Vacation (1962),['1962']
1052,"Mr. Limpet (1942), Theodore Pratt",The Incredible Mr. Limpet (1964),['1964']
1053,"Mr. Winkle Goes to War (1943), Theodore Pratt",Mr. Winkle Goes to War (1944),['1944']
1054,"Mrs. Frisby and the Rats of NIMH (1971), Robert C. O'Brien","The Secret of NIMH (1982)
* The Secret of NIMH 2: Timmy to the Rescue (1999)","['1982', '1999']"
1055,"Mrs McGinty's Dead (1952), Agatha Christie",Murder Most Foul (1964),['1964']
1056,"Mud on the Stars' (1942), William Bradford Huie",Wild River (1960),['1960']
1057,"La Mujer de mi Hermano (My Brother's Wife) (2002), Jaime Bayly",La mujer de mi hermano (My Brother's Wife) (2005),['2005']
1058,"A Mule for the Marquesa (1964), Frank O'Rourke",The Professionals (1966),['1966']
1059,"Murder in Amityville (1979), Hans Holzer",Amityville II: The Possession (1982),['1982']
1060,"Murder on the Orient Express (1934), Agatha Christie","Murder on the Orient Express (1974)
Murder on the Orient Express (2001) (TV)","['1974', '2001']"
1061,"Murphy’s Romance: A Novel (1980), Max Schott",Murphy's Romance (1985),['1985']
1062,"Mute Witness (1963), Robert L. Pike (as Robert L. Fish)",Bullitt (1968),['1968']
1063,"My Ántonia (1918), Willa Cather",My Antonia (1995) (TV),['1995']
1064,"My Philadelphia Father (1955), Anthony Joseph Drexel Biddle, Sr. (as Cordelia Drexel Biddle)",The Happiest Millionaire (1967),['1967']
1065,"My Friend Flicka (1941), Mary O'Hara","My Friend Flicka (1943)
* Thunderhead, Son of Flicka (1945)
** Green Grass of Wyoming (1948)
Flicka (2006)
* Flicka 2 (2010)","['1943', '1945', '1948', '2006', '2010']"
1066,"My Kingdom for a Woman (1952), Ismet Regeila",Abdulla the Great (1955),['1955']
1067,"My Reminiscences as a Cowboy (1930), Frank Harris",Cowboy (1968),['1968']
1068,"The Mystery of Edwin Drood (unfinished) (1870), Charles Dickens","The Mystery of Edwin Drood (1909)
The Mystery of Edwin Drood (1914)
The Mystery of Edwin Drood (1935)
The Mystery of Edwin Drood (1993)
The Mystery of Edwin Drood (2012) (TV) (mini)","['1909', '1914', '1935', '1993', '2012']"
1069,"The Mysterious Island (The Mysterious Island) (1874), Jules Verne","20,000 Leagues Under the Sea (1916)
The Mysterious Island (1929)
Mysterious Island (1941)
Mysterious Island (1951) (serial)
Mysterious Island (1961)
La Isla misteriosa y el capitán Nemo (L'Île mystérieuse) (1973) (TV) (mini)
Mysterious Island (1982)
Mysterious Island (2005)
Journey 2: The Mysterious Island (2012)","['1916', '1929', '1941', '1951', '1961', '1973', '1982', '2005', '2012']"
1070,"Mystic River (2001), Dennis Lehane",Mystic River (2003),['2003']
1072,"The Name of the Rose (1980), Umberto Eco",The Name of the Rose (1986),['1986']
1073,"The Naked and the Dead (1948), Norman Mailer",The Naked and the Dead (1958),['1958']
1074,"The Naked Country (1960), Morris West (as ""Michael East"")",The Naked Country (1985),['1985']
1075,"The Naked Face (1970), Sidney Sheldon",The Naked Face (1984),['1984']
1076,"Naked Lunch (1959), William S. Burroughs",Naked Lunch (1991),['1991']
1077,"The Nanny (1987), Dan Greenburg",The Guardian (1990),['1990']
1078,"The Nanny Diaries (2002), Emma McLaughlin and Nicola Kraus",The Nanny Diaries (2007),['2007']
1079,"The Natural (1952), Bernard Malamud",The Natural (1984),['1984']
1080,"National Velvet (1935), Enid Bagnold","National Velvet (1944)
* International Velvet (1978)","['1944', '1978']"
1081,"Nest in a Fallen Tree (1967), Joy Cowley",The Night Digger (1971),['1971']
1082,"The Net (1912), Rex Beach",Fair Lady (1922),['1922']
1083,"Nevada (1928), Zane Grey","Nevada (1927)
Nevada (1935)
Nevada (1944)","['1927', '1935', '1944']"
1084,"Never Cry Wolf (1963), Farley Mowat",Never Cry Wolf (1983),['1983']
1085,"The Neverending Story (1979), Michael Ende","The NeverEnding Story (1984)
* The NeverEnding Story II: The Next Chapter (1990)
** The NeverEnding Story III (1994)
The NeverEnding Story (2014)","['1984', '1990', '1994', '2014']"
1086,"Nicholas Nickleby (1838–1839) (serial), (1839) (novel), Charles Dickens","Nicholas Nickleby (1903)
Nicholas Nickleby (1912)
Nicholas Nickleby (1947)
Nicholas Nickleby (1957)
Nicholas Nickleby (1968)
Nicholas Nickleby (1977) (TV) (serial)
Nicholas Nickleby (1985)
The Life and Adventures of Nicholas Nickleby (2001)
Nicholas Nickleby (2002)","['1903', '1912', '1947', '1957', '1968', '1977', '1985', '2001', '2002']"
1087,"The Nick Adams Stories (1972), Ernest Hemingway",Hemingway's Adventures of a Young Man (1962),['1962']
1088,"Night and the City (1938), Gerald Kersh","Night and the City (1950)
Night and the City (1992)","['1950', '1992']"
1089,"Night Has a Thousand Eyes (1945), Cornell Woolrich (as George Hopley)",Night Has a Thousand Eyes (1948),['1948']
1090,"The Night of the Generals (1963), Hans Hellmut Kirst",The Night of the Generals (1967),['1967']
1091,"The Night of the Hunter (1953), Davis Grubb",The Night of the Hunter (1955),['1955']
